['apVisit-dr17-7951-59155-021.fits', 17563]
['apVisit-dr17-7950-57295-016.fits', 17564]
['apVisit-dr17-9084-57556-214.fits', 17559]
['apVisit-dr17-9082-57789-015.fits', 17569]
['apVisit-dr17-7950-58060-015.fits', 17565]
['apVisit-dr17-7950-58085-015.fits', 17570]
['apVisit-dr17-7950-58384-027.fits', 17561]
['apVisit-dr17-7950-58731-016.fits', 17566]
['apVisit-dr17-9519-57736-224.fits', 18955]
['apVisit-dr17-9519-58028-227.fits', 18948]
['apVisit-dr17-7950-59074-278.fits', 18947]
['apVisit-dr17-9264-58054-281.fits', 18954]
['apVisit-dr17-9069-58150-278.fits', 18958]
['apVisit-dr17-5095-55840-186.fits', 18932]
['apVisit-dr17-7950-57295-284.fits', 18933]
['apVisit-dr17-9084-57556-278.fits', 18941]
['apVisit-dr17-7950-58060-275.fits', 18946]
['apVisit-dr17-9135-58295-278.fits', 18937]
['apVisit-dr17-7950-58731-284.fits', 18935]
['apVisit-dr17-7535-57294-047.fits', 19066]
['apVisit-dr17-7535-57321-148.fits', 19091]
['apVisit-dr17-7535-57323-148.fits', 19090]
['apVisit-dr17-7535-57347-100.fits', 19089]
['apVisit-dr17-7535-57294-094.fits', 19088]
['apVisit-dr17-7535-57321-059.fits', 19171]
['apVisit-dr17-7535-57323-059.fits', 19168]
['apVisit-dr17-7535-57347-092.fits', 19169]
['apVisit-dr17-8088-58752-255.fits', 19634]
['apVisit-dr17-8088-58753-255.fits', 19633]
['apVisit-dr17-12769-59083-020.fits', 19650]
['apVisit-dr17-12769-59084-020.fits', 19651]
['apVisit-dr17-12769-59085-020.fits', 19652]
['apVisit-dr17-12769-59083-005.fits', 19706]
['apVisit-dr17-12769-59084-005.fits', 19705]
['apVisit-dr17-7535-57323-182.fits', 20050]
['apVisit-dr17-7535-57294-201.fits', 20441]
['apVisit-dr17-7535-57294-034.fits', 20473]
['asVisit-dr17-10081-58025-182.fits', 20708]
['asVisit-dr17-10123-58414-195.fits', 20706]
['apVisit-dr17-8088-58752-155.fits', 21480]
['apVisit-dr17-8088-58753-155.fits', 21479]
['apVisit-dr17-8088-58752-268.fits', 21617]
['apVisit-dr17-8088-58753-268.fits', 21618]
['asVisit-dr17-10123-58092-255.fits', 22210]
['asVisit-dr17-10123-58358-064.fits', 22202]
['asVisit-dr17-11157-58384-063.fits', 22209]
['asVisit-dr17-10123-58414-063.fits', 22207]
['asVisit-dr17-10123-58419-063.fits', 22203]
['asVisit-dr17-10123-58419-063.fits', 22203]
['asVisit-dr17-10123-58446-063.fits', 22208]
['asVisit-dr17-10081-58053-152.fits', 22378]
['apVisit-dr17-7535-57321-035.fits', 22469]
['apVisit-dr17-7535-57347-128.fits', 22470]
['apVisit-dr17-7535-57294-131.fits', 22472]
['apVisit-dr17-7535-57323-035.fits', 22471]
['apVisit-dr17-7921-58084-282.fits', 25232]
['apVisit-dr17-12769-59084-193.fits', 25297]
['apVisit-dr17-12769-59085-193.fits', 25296]
['apVisit-dr17-7535-57294-070.fits', 25912]
['apVisit-dr17-7535-57321-069.fits', 25913]
['apVisit-dr17-7535-57322-069.fits', 25911]
['apVisit-dr17-7535-57323-069.fits', 25910]
['apVisit-dr17-7535-57347-070.fits', 25914]
['asVisit-dr17-10123-58358-075.fits', 26449]
['asVisit-dr17-10123-58089-261.fits', 26450]
['asVisit-dr17-10123-58092-250.fits', 26451]
['asVisit-dr17-10123-58322-076.fits', 26455]
['asVisit-dr17-10123-58350-070.fits', 26456]
['asVisit-dr17-10123-58355-070.fits', 26453]
['asVisit-dr17-11157-58384-070.fits', 26459]
['asVisit-dr17-10123-58414-076.fits', 26448]
['asVisit-dr17-11157-58419-069.fits', 26454]
['asVisit-dr17-11157-58419-069.fits', 26454]
['asVisit-dr17-10123-58446-070.fits', 26460]
['asVisit-dr17-10123-58677-069.fits', 26452]
['apVisit-dr17-12769-59084-144.fits', 27249]
['apVisit-dr17-12769-59085-144.fits', 27250]
['apVisit-dr17-8656-58017-023.fits', 27377]
['apVisit-dr17-8656-58018-023.fits', 27375]
['apVisit-dr17-8656-58021-023.fits', 27376]
['apVisit-dr17-8656-58022-023.fits', 27374]
['apVisit-dr17-12769-59084-040.fits', 27372]
['apVisit-dr17-12769-59085-040.fits', 27371]
['apVisit-dr17-12769-59083-201.fits', 28029]
['apVisit-dr17-12769-59084-201.fits', 28030]
['asVisit-dr17-10081-58053-088.fits', 29175]
['asVisit-dr17-10081-58061-250.fits', 29172]
['asVisit-dr17-10123-58092-208.fits', 29185]
['asVisit-dr17-10123-58322-087.fits', 29182]
['asVisit-dr17-10123-58350-087.fits', 29188]
['asVisit-dr17-10123-58355-033.fits', 29189]
['asVisit-dr17-10123-58358-033.fits', 29183]
['asVisit-dr17-11157-58384-040.fits', 29178]
['asVisit-dr17-10123-58414-141.fits', 29186]
['asVisit-dr17-11157-58419-082.fits', 29173]
['asVisit-dr17-11157-58419-082.fits', 29173]
['asVisit-dr17-10123-58446-039.fits', 29177]
['apVisit-dr17-12769-59083-151.fits', 29440]
['apVisit-dr17-12769-59084-151.fits', 29439]
['apVisit-dr17-12769-59085-151.fits', 29441]
['apVisit-dr17-7950-58384-118.fits', 29953]
['apVisit-dr17-12769-59083-207.fits', 30174]
['apVisit-dr17-12769-59084-207.fits', 30173]
['apVisit-dr17-8656-58017-115.fits', 30642]
['apVisit-dr17-8656-58018-115.fits', 30644]
['apVisit-dr17-8656-58021-115.fits', 30641]
['apVisit-dr17-8656-58022-115.fits', 30643]
['apVisit-dr17-7921-58038-188.fits', 30851]
['apVisit-dr17-7921-58060-188.fits', 30849]
['apVisit-dr17-8656-58017-226.fits', 31087]
['apVisit-dr17-8656-58018-226.fits', 31086]
['apVisit-dr17-8656-58021-226.fits', 31084]
['apVisit-dr17-8656-58022-226.fits', 31085]
['apVisit-dr17-7921-58060-095.fits', 32965]
['apVisit-dr17-7921-58064-095.fits', 32964]
['apVisit-dr17-7921-58084-095.fits', 32967]
['apVisit-dr17-6232-56224-089.fits', 35445]
['asVisit-dr17-12806-59206-298.fits', 38455]
['apVisit-dr17-6233-56262-121.fits', 40737]
['apVisit-dr17-6234-56225-275.fits', 41482]
['apVisit-dr17-6234-56206-275.fits', 41480]
['apVisit-dr17-6235-56226-287.fits', 41481]
['apVisit-dr17-6235-56230-275.fits', 41485]
['apVisit-dr17-6234-56233-287.fits', 41484]
['apVisit-dr17-8089-58805-091.fits', 42732]
['apVisit-dr17-8089-58791-102.fits', 42731]
['apVisit-dr17-8089-58791-207.fits', 43777]
['apVisit-dr17-6234-56206-293.fits', 48187]
['apVisit-dr17-6234-56233-242.fits', 48188]
['apVisit-dr17-6234-56225-293.fits', 48189]
['asVisit-dr17-12805-59204-069.fits', 50255]
['asVisit-dr17-12805-59207-069.fits', 50254]
['asVisit-dr17-12805-59204-089.fits', 51434]
