,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
2,[0.12868196 111.8],[1.16232915e-01 2.31300000e+02],[1.29449222e-01 3.31350000e+02],[1.3637873e-01 4.6110000e+02],[7.10504865e-02 6.13800000e+02],[7.59999274e-02 7.20050000e+02],[1.62748843e-01 8.10600000e+02],[1.21664642e-01 9.67600000e+02],[7.26023542e-02 1.06770000e+03],[7.23545811e-02 1.26255000e+03],[1.19495364e-01 1.30720000e+03],[7.32730329e-02 1.42640000e+03],[7.63792436e-02 1.58115000e+03],[1.14350826e-01 1.58500000e+03],[1.05014801e-01 1.76390000e+03],[1.96130478e-01 1.79780000e+03],[6.86126682e-02 1.95650000e+03],[6.53894551e-02 2.10275000e+03],[5.18431184e-02 2.10305000e+03],[5.13182799e-02 2.36530000e+03]
3,[0.22148848 131.1],[1.448575e-01 2.609500e+02],[1.26012001e-01 3.94850000e+02],[1.44820068e-01 5.25700000e+02],[1.39539714e-01 6.61150000e+02],[8.15143026e-02 7.47250000e+02],[8.48969424e-02 9.18900000e+02],[7.79133084e-02 1.03110000e+03],[7.8955096e-02 1.1892500e+03],[8.47245286e-02 1.32495000e+03],[1.12776035e-01 1.42990000e+03],[8.83615697e-02 1.52630000e+03],[8.43306818e-02 1.73135000e+03],[1.14011671e-01 1.74675000e+03],[7.28313832e-02 1.93025000e+03],[1.13027645e-01 2.05265000e+03],[1.08961877e-01 2.22995000e+03],[6.73778328e-02 2.31380000e+03],[1.52299446e-01 2.32065000e+03],[1.74393745e-01 2.53915000e+03]
4,[0.28437514 151.2],[2.00546706e-01 2.60050000e+02],[1.27445206e-01 4.15100000e+02],[1.40768415e-01 5.52250000e+02],[1.7203246e-01 6.9100000e+02],[9.70526165e-02 8.01700000e+02],[1.90577545e-01 8.73000000e+02],[9.18444113e-02 1.08075000e+03],[1.39985653e-01 1.22365000e+03],[9.63507523e-02 1.41045000e+03],[1.82966998e-01 1.39675000e+03],[1.43281308e-01 1.68675000e+03],[1.40878102e-01 1.69590000e+03],[9.21305288e-02 2.01990000e+03],[1.39226862e-01 2.06475000e+03],[1.45289973e-01 2.27695000e+03],[1.4228396e-01 2.1792500e+03],[1.380124e-01 2.502400e+03],[2.06941097e-01 2.59100000e+03],[7.60704914e-02 2.85040000e+03]
5,[0.39163214 148.5],[2.33510322e-01 2.87000000e+02],[1.54402519e-01 4.41450000e+02],[1.75875238e-01 5.49300000e+02],[1.35329628e-01 7.38050000e+02],[1.49639102e-01 7.91100000e+02],[1.23980775e-01 1.00305000e+03],[1.07185342e-01 1.15010000e+03],[9.76009521e-02 1.25870000e+03],[9.92850358e-02 1.38640000e+03],[1.14406894e-01 1.64455000e+03],[1.47066043e-01 1.69405000e+03],[1.70193549e-01 1.88905000e+03],[2.10488735e-01 1.89190000e+03],[1.62448275e-01 2.13035000e+03],[8.93992343e-02 2.35295000e+03],[9.1142272e-02 2.3256000e+03],[8.71797591e-02 2.53710000e+03],[8.09432835e-02 2.61885000e+03],[8.9634088e-02 2.8534000e+03]
6,[0.43940629 143.4],[2.11579977e-01 2.93350000e+02],[2.73437653e-01 4.14750000e+02],[2.41050039e-01 6.01950000e+02],[1.43477534e-01 7.65750000e+02],[2.22470854e-01 9.22000000e+02],[1.2546887e-01 9.9375000e+02],[1.78230216e-01 1.05890000e+03],[1.13201322e-01 1.28610000e+03],[2.16167651e-01 1.38455000e+03],[1.27989996e-01 1.61925000e+03],[1.04617572e-01 1.68880000e+03],[1.20236994e-01 2.03235000e+03],[1.30068311e-01 1.93250000e+03],[1.11532512e-01 2.29260000e+03],[1.68624626e-01 2.37650000e+03],[1.06158479e-01 2.52110000e+03],[2.28678254e-01 2.61940000e+03],[1.14547616e-01 2.78540000e+03],[1.12222773e-01 2.92300000e+03]
7,[0.36123175 158.15],[2.05420736e-01 2.82700000e+02],[2.12025895e-01 4.60350000e+02],[2.68300105e-01 6.47000000e+02],[1.74265746e-01 8.18450000e+02],[1.76657145e-01 9.59350000e+02],[1.4390473e-01 1.0426000e+03],[1.62451369e-01 1.30920000e+03],[2.20897101e-01 1.40275000e+03],[1.31876461e-01 1.51060000e+03],[1.33232783e-01 1.72790000e+03],[1.62628132e-01 1.56145000e+03],[1.94496228e-01 1.99910000e+03],[1.68403734e-01 2.22580000e+03],[1.19288935e-01 2.18750000e+03],[1.25311904e-01 2.53410000e+03],[1.14459074e-01 2.53830000e+03],[1.754581e-01 2.647450e+03],[1.96600825e-01 2.83160000e+03],[1.58610155e-01 2.81975000e+03]
8,[0.47901353 176],[2.76354853e-01 3.11150000e+02],[2.14386667e-01 4.77300000e+02],[2.77187497e-01 6.69950000e+02],[2.16739923e-01 8.61550000e+02],[2.12359775e-01 9.55450000e+02],[1.70682482e-01 1.16045000e+03],[1.37357913e-01 1.09510000e+03],[1.38670766e-01 1.31465000e+03],[1.41382797e-01 1.56670000e+03],[1.55065649e-01 1.69500000e+03],[1.42208211e-01 1.94460000e+03],[1.50542648e-01 2.09125000e+03],[1.52277874e-01 1.92720000e+03],[1.2315345e-01 2.3429500e+03],[1.25681784e-01 2.52475000e+03],[2.28311477e-01 2.44890000e+03],[1.19201833e-01 2.67260000e+03],[9.93612013e-02 2.77975000e+03],[1.88407178e-01 3.29130000e+03]
9,[0.50771535 170.8],[0.33531888 314.3],[2.162452e-01 4.389000e+02],[2.1466267e-01 6.1300000e+02],[1.8108149e-01 7.5595000e+02],[1.92119347e-01 9.86150000e+02],[2.40753416e-01 1.15220000e+03],[1.72755784e-01 1.31190000e+03],[2.00181089e-01 1.36720000e+03],[2.88771304e-01 1.52295000e+03],[1.68219467e-01 2.04120000e+03],[1.88775563e-01 2.01825000e+03],[2.46525271e-01 2.05990000e+03],[2.13559558e-01 2.28330000e+03],[1.71304482e-01 2.56700000e+03],[1.34925382e-01 2.70005000e+03],[2.42038922e-01 2.43850000e+03],[2.07196839e-01 2.74530000e+03],[2.16407417e-01 3.12515000e+03],[1.11109495e-01 3.11180000e+03]
10,[0.49360205 167.1],[0.3703331 319.9],[3.34651702e-01 4.69850000e+02],[3.05054528e-01 7.25500000e+02],[2.02832543e-01 7.43150000e+02],[2.49136158e-01 9.43150000e+02],[2.75588267e-01 1.24775000e+03],[2.21140693e-01 1.29975000e+03],[1.75286317e-01 1.44190000e+03],[1.51884337e-01 1.52535000e+03],[1.70724818e-01 1.82600000e+03],[2.14147667e-01 1.95535000e+03],[1.81677871e-01 2.23845000e+03],[1.6463273e-01 2.3620500e+03],[1.76853547e-01 2.58500000e+03],[2.07006621e-01 2.51450000e+03],[2.76761274e-01 2.57370000e+03],[1.65467786e-01 2.83230000e+03],[2.20113891e-01 3.13965000e+03],[1.4741377e-01 3.4610500e+03]
